"type","horse","CO2"
"guards",300,355.45
"guards",300,225.89
"guards",300,381.27
"guards",300,220.42
"guards",300,375.19
"guards",300,224.14
"guards",300,333.96
"guards",300,209.35
"guards",300,329.17
"guards",300,213.95
"guards",300,326.42
"guards",300,370.99
"guards",300,216.94
"guards",300,370.96
"guards",300,215.64
"guards",300,385.56
"guards",300,248.61
"guards",300,410.22
"guards",300,252.29
"guards",300,390.88
"guards",300,240.77
"guards",300,377.1
"guards",300,240.16
"guards",443,408.39
"guards",443,247.13
"guards",443,442.7450313
"guards",443,273.0476202
"guards",443,250.1390146
"guards",443,403.64
"guards",443,248.07
"guards",443,434.73
"guards",443,248.64
"guards",448,435.73
"guards",448,271.77
"guards",448,274.29
"guards",448,462.88
"guards",448,430.37
"guards",448,270.83
"guards",448,457.98
"guards",448,275.02
"guards",443,254.21
"guards",443,417.04
"guards",443,256.38
"guards",443,446.03
"guards",443,257.61
"guards",443,422.01
"guards",443,452.05
"guards",443,260.61
"guards",448,472.5361654
"guards",448,285.0767181
"guards",448,465.337435
"guards",448,493.4245954
"guards",448,285.3426618
"guards",448,450.9
"guards",448,280.13
"guards",448,456.19
"guards",448,275.08
"guards",300,340.56
"guards",300,214.92
"guards",300,344.27
"guards",300,218.14
"guards",300,372.57
"guards",300,213.82
"guards",300,370.1
"guards",300,214.35
"guards",300,335.15
"guards",300,206.87
"guards",300,333.63
"guards",300,212.76
"guards",300,334.8
"guards",300,360.72
"guards",300,210.09
"guards",300,358.06
"guards",300,206.01
"guards",300,343.14
"guards",300,208.96
"guards",300,341.49
"guards",300,212.44
"guards",300,370.78
"guards",300,214.66
"guards",300,358.63
"guards",300,209.48
"guards",300,320.91
"guards",300,202.77
"guards",300,329.01
"guards",300,328.4
"guards",300,205.5
"guards",300,327.01
"guards",300,348.16
"guards",300,205.27
"guards",300,349.58
"guards",300,209.8
"guards",300,361.19
"guards",300,223.95
"guards",300,223.25
"guards",300,388.42
"guards",300,227.02
"guards",300,362.9
"guards",300,232.3
"guards",300,384.81
"guards",300,351.28
"guards",300,219.12
"guards",300,380.82
"guards",300,220.46
"guards",300,364.08
"guards",300,223.93
"guards",300,378.52
"guards",300,220.49
"guards",300,355
"guards",300,219.51
"guards",300,385.27
"guards",300,222.02
